year,rank,player,age,team,first,pts_won,pts_max,share,g,mp,pts,trb,ast,stl,blk,fg%,height,weight,defense_rank,wins,dws,dbpm,bpm,vorp
2015,10,Jimmy Butler,25,CHI,0.0,7.0,645,0.011,65,38.7,20.0,5.8,3.3,1.8,0.6,.462,201,104,11,50,3.0,1.2,4.6,4.2
2015,11,Marc Gasol,30,MEM,0.0,7.0,645,0.011,81,33.2,17.4,7.8,3.8,0.9,1.6,.494,211,116,3,55,4.7,2.4,5.1,4.8
2015,12,Joakim Noah,29,CHI,0.0,4.0,645,0.006,67,30.6,7.2,9.6,4.7,0.7,1.1,.445,211,104,11,50,3.1,2.0,2.1,2.1
2015,13,Trevor Ariza,29,HOU,0.0,3.0,645,0.005,82,35.7,12.8,5.6,2.5,1.9,0.2,.402,203,98,8,56,3.9,1.1,1.0,2.2
2015,14,LeBron James,30,CLE,0.0,3.0,645,0.005,69,36.1,25.3,6.0,7.4,1.6,0.7,.488,206,113,18,53,2.9,1.0,7.1,5.7
2015,15,Patrick Beverley,26,HOU,0.0,1.0,645,0.002,56,30.8,10.1,4.2,3.4,1.1,0.4,.383,185,82,8,56,1.8,0.5,0.1,0.9
2015,16,DeMarre Carroll,28,ATL,0.0,1.0,645,0.002,70,31.3,12.6,5.3,1.7,1.3,0.2,.487,198,98,6,60,2.8,0.4,1.7,2.0
2016,1,Kawhi Leonard,24,SAS,84.0,547.0,650,0.842,72,33.1,21.2,6.8,2.6,1.8,1.0,.506,201,102,1,67,5.5,3.0,9.1,6.7
2016,2,Draymond Green,25,GSW,44.0,421.0,650,0.648,81,34.7,14.0,9.5,7.4,1.5,1.4,.490,198,104,5,73,5.1,2.9,5.5,5.3
2016,3,Hassan Whiteside,26,MIA,2.0,83.0,650,0.128,73,29.1,14.2,11.8,0.4,0.6,3.7,.606,213,120,9,48,5.3,2.4,4.1,3.3
2016,4,DeAndre Jordan,27,LAC,0.0,50.0,650,0.077,77,33.7,12.7,13.8,1.2,0.7,2.3,.703,211,120,6,53,5.5,1.3,2.8,3.2
2016,5,Paul Millsap,30,ATL,0.0,21.0,650,0.032,81,32.7,17.1,9.0,3.3,1.8,1.7,.470,201,117,2,48,6.0,2.7,4.2,4.1
2016,6,Avery Bradley,25,BOS,0.0,14.0,650,0.022,76,33.4,15.2,2.9,2.1,1.5,0.3,.447,190,82,4,48,2.8,0.3,-0.1,1.2
2016,7,Rudy Gobert,23,UTA,0.0,13.0,650,0.020,61,31.7,9.1,11.0,1.5,0.7,2.2,.559,216,117,7,40,3.8,2.2,2.2,2.0
2016,8,Tony Allen,34,MEM,0.0,5.0,650,0.008,64,25.3,8.4,4.6,1.1,1.7,0.3,.458,193,97,19,42,1.9,1.2,-1.0,0.4
2016,9,Anthony Davis,22,NOP,0.0,4.0,650,0.006,61,35.5,24.3,10.3,1.9,1.3,2.0,.493,208,115,27,30,2.8,0.4,3.9,3.2
2016,10,Andre Drummond,22,DET,0.0,3.0,650,0.005,81,32.9,16.2,14.8,0.8,1.5,1.4,.521,208,127,12,44,5.5,0.3,1.1,2.0
2016,11,Jimmy Butler,26,CHI,0.0,2.0,650,0.003,67,36.9,20.9,5.3,4.8,1.6,0.6,.454,201,104,15,42,2.7,1.2,4.4,3.9
2016,12,LeBron James,31,CLE,0.0,2.0,650,0.003,76,35.6,25.3,7.4,6.8,1.4,0.6,.520,206,113,10,57,4.0,2.0,9.0,7.5
2016,13,Trevor Ariza,30,HOU,0.0,1.0,650,0.002,81,35.3,12.7,4.5,2.3,2.0,0.3,.416,203,98,21,41,2.3,0.3,0.4,1.7
2016,14,Jae Crowder,25,BOS,0.0,1.0,650,0.002,73,31.6,14.2,5.1,1.8,1.7,0.5,.443,198,107,4,48,3.5,1.4,2.2,2.5
2016,15,Al Horford,29,ATL,0.0,1.0,650,0.002,82,32.1,15.2,7.3,3.2,0.8,1.5,.505,206,109,2,48,4.5,1.6,3.8,3.9
2016,16,Kyle Lowry,29,TOR,0.0,1.0,650,0.002,77,37.0,21.2,4.7,6.4,2.1,0.4,.427,183,89,11,56,3.7,1.1,5.8,5.7
2016,17,Chris Paul,30,LAC,0.0,1.0,650,0.002,74,32.7,19.5,4.2,10.0,2.1,0.2,.462,185,79,6,53,3.5,2.0,7.9,6.0
2017,1,Draymond Green,26,GSW,73.0,434.0,500,0.868,76,32.5,10.2,7.9,7.0,2.0,1.4,.418,198,104,2,67,5.4,3.9,4.9,4.3
2017,2,Rudy Gobert,24,UTA,16.0,269.0,500,0.538,81,33.9,14.0,12.8,1.2,0.6,2.6,.661,216,117,3,51,6.0,2.2,4.4,4.4
2017,3,Kawhi Leonard,25,SAS,11.0,182.0,500,0.364,74,33.4,25.5,5.8,3.5,1.8,0.7,.485,201,102,1,61,4.7,2.2,9.4,7.1
2017,4,Robert Covington,26,PHI,0.0,4.0,500,0.008,67,31.6,12.9,6.5,1.5,1.9,1.0,.399,201,95,17,28,3.2,1.4,0.2,1.1
2017,5,LeBron James,32,CLE,0.0,3.0,500,0.006,74,37.8,26.4,8.6,8.7,1.2,0.6,.548,206,113,21,51,3.0,1.2,7.6,6.7
2017,6,Andre Roberson,25,OKC,0.0,3.0,500,0.006,79,30.1,6.6,5.1,1.0,1.2,1.0,.464,201,95,10,47,3.1,1.4,-1.0,0.6
2017,7,Hassan Whiteside,27,MIA,0.0,3.0,500,0.006,77,32.6,17.0,14.1,0.7,0.7,2.1,.557,213,120,5,41,5.3,0.5,1.5,2.2
2017,8,LaMarcus Aldridge,31,SAS,0.0,1.0,500,0.002,72,32.4,17.3,7.3,1.9,0.6,1.2,.477,211,113,1,61,3.7,0.1,0.8,1.7
2017,9,Patrick Beverley,28,HOU,0.0,1.0,500,0.002,67,30.7,9.5,5.9,4.2,1.5,0.4,.420,185,82,18,55,2.4,1.4,1.1,1.6
2018,1,Rudy Gobert,25,UTA,89.0,466.0,505,0.923,56,32.4,13.5,10.7,1.4,0.8,2.3,.622,216,117,2,48,3.9,2.5,3.4,2.5
2018,2,Joel Embiid,23,PHI,2.0,163.0,505,0.323,63,30.3,22.9,11.0,3.2,0.6,1.8,.483,213,127,4,52,3.8,1.3,3.3,2.6
2018,3,Anthony Davis,24,NOP,5.0,139.0,505,0.275,75,36.4,28.1,11.1,2.3,1.5,2.6,.534,208,115,14,48,4.9,1.4,6.7,5.9
2018,4,Paul George,27,OKC,2.0,38.0,505,0.075,79,36.6,21.9,5.7,3.3,2.0,0.5,.430,203,100,9,48,3.9,0.6,2.9,3.6
2018,5,Al Horford,31,BOS,1.0,37.0,505,0.073,72,31.6,12.9,7.4,4.7,0.6,1.1,.489,206,109,1,55,3.8,2.0,4.4,3.7
2018,6,Draymond Green,27,GSW,1.0,20.0,505,0.040,70,32.7,11.0,7.6,7.3,1.4,1.3,.454,198,104,11,58,3.4,1.9,2.8,2.8
2018,7,Jrue Holiday,27,NOP,1.0,11.0,505,0.022,81,36.1,19.0,4.5,6.0,1.5,0.8,.494,190,93,14,48,2.9,0.3,1.6,2.7
2018,8,Robert Covington,27,PHI,0.0,8.0,505,0.016,80,31.7,12.6,5.4,2.0,1.7,0.9,.413,201,95,4,52,4.5,1.7,1.5,2.3
2018,9,Kevin Durant,29,GSW,0.0,7.0,505,0.014,68,34.2,26.4,6.8,5.4,0.7,1.8,.516,208,109,11,58,2.9,0.6,7.3,5.5
2018,10,Jaylen Brown,21,BOS,0.0,5.0,505,0.010,70,30.7,14.5,4.9,1.6,1.0,0.4,.465,198,101,1,55,3.2,0.3,-0.5,0.8
2018,11,Klay Thompson,27,GSW,0.0,4.0,505,0.008,73,34.3,20.0,3.8,2.5,0.8,0.5,.488,198,98,11,58,1.8,-2.1,-0.4,1.0
2018,12,Steven Adams,24,OKC,0.0,3.0,505,0.006,76,32.7,13.9,9.0,1.2,1.2,1.0,.629,211,120,9,48,3.0,-0.6,1.1,2.0
2018,13,Jimmy Butler,28,MIN,0.0,3.0,505,0.006,59,36.7,22.2,5.3,4.9,2.0,0.4,.474,201,104,27,47,1.8,0.7,5.8,4.2
2018,14,Clint Capela,23,HOU,0.0,2.0,505,0.004,74,27.5,13.9,10.8,0.9,0.8,1.9,.652,208,109,6,65,4.1,1.0,3.4,2.8
2018,15,Andre Drummond,24,DET,0.0,1.0,505,0.002,78,33.7,15.0,16.0,3.0,1.5,1.6,.529,208,127,10,39,5.7,1.7,3.2,3.4
2018,16,Jusuf Nurkić,23,POR,0.0,1.0,505,0.002,79,26.4,14.3,9.0,1.8,0.8,1.4,.505,213,132,8,49,3.9,1.1,0.0,1.1
2018,17,Victor Oladipo,25,IND,0.0,1.0,505,0.002,75,34.0,23.1,5.2,4.3,2.4,0.8,.477,193,97,13,48,4.0,1.7,5.8,5.0
2019,1,Rudy Gobert,26,UTA,65.0,411.0,500,0.822,81,31.8,15.9,12.9,2.0,0.8,2.3,.669,216,117,2,50,5.7,2.5,5.4,4.8
2019,2,Giannis Antetokounmpo,24,MIL,26.0,280.0,500,0.560,72,32.8,27.7,12.5,5.9,1.3,1.5,.578,211,110,1,60,5.5,4.1,10.4,7.4
2019,3,Paul George,28,OKC,6.0,150.0,500,0.300,77,36.9,28.0,8.2,4.1,2.2,0.4,.438,203,100,4,49,4.9,1.6,7.2,6.6
2019,4,Joel Embiid,24,PHI,1.0,26.0,500,0.052,64,33.7,27.5,13.6,3.7,0.7,1.9,.484,213,127,15,51,3.8,0.9,4.9,3.8
2019,5,Myles Turner,22,IND,0.0,15.0,500,0.030,74,28.6,13.3,7.2,1.6,0.8,2.7,.487,211,113,3,48,4.4,2.4,2.5,2.4
2019,6,Draymond Green,28,GSW,1.0,6.0,500,0.012,66,31.3,7.4,7.3,6.9,1.4,1.1,.445,198,104,13,57,3.2,2.7,1.4,1.8
2019,7,Kawhi Leonard,27,TOR,1.0,6.0,500,0.012,60,34.0,26.6,7.3,3.3,1.8,0.4,.496,201,102,5,58,3.4,1.1,7.2,4.7
2019,8,Marcus Smart,24,BOS,0.0,4.0,500,0.008,80,27.5,8.9,2.9,4.0,1.8,0.4,.422,190,100,7,49,3.1,2.0,0.8,1.5
2019,9,Jarrett Allen,20,BRK,0.0,1.0,500,0.002,80,26.2,10.9,8.4,1.4,0.5,1.5,.590,211,110,14,42,3.3,1.4,1.6,1.9
2019,10,Patrick Beverley,30,LAC,0.0,1.0,500,0.002,78,27.4,7.6,5.0,3.8,0.9,0.6,.407,185,82,21,48,2.0,1.2,0.9,1.5
